Module DetId/U, Module Section/C, Module Layer/I, Module Ring/I, Module phi_deg/D, Bundle #/I, Cable #/I, Cable type/C, Cable ServicesChannel/I, DTC name/C, DTC Phi Sector Ref/I, type /C, DTC Slot/I, DTC Phi Sector Width_deg/D
441201716,TB2S, 1, 1, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201720,TB2S, 1, 2, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201724,TB2S, 1, 3, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201728,TB2S, 1, 4, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201732,TB2S, 1, 5, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201736,TB2S, 1, 6, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201740,TB2S, 1, 7, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201744,TB2S, 1, 8, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201748,TB2S, 1, 9, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201752,TB2S, 1, 10, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201756,TB2S, 1, 11, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441201760,TB2S, 1, 12, 90.000000, 14120,221,2S,4,2_2S_1,2,2S,1,40.000000
441202740,TB2S, 1, 1, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202744,TB2S, 1, 2, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202748,TB2S, 1, 3, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202752,TB2S, 1, 4, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202756,TB2S, 1, 5, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202760,TB2S, 1, 6, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202764,TB2S, 1, 7, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202768,TB2S, 1, 8, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202772,TB2S, 1, 9, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202776,TB2S, 1, 10, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202780,TB2S, 1, 11, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441202784,TB2S, 1, 12, 97.500000, 14130,221,2S,4,2_2S_1,2,2S,1,40.000000
441203764,TB2S, 1, 1, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203768,TB2S, 1, 2, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203772,TB2S, 1, 3, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203776,TB2S, 1, 4, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203780,TB2S, 1, 5, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203784,TB2S, 1, 6, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203788,TB2S, 1, 7, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203792,TB2S, 1, 8, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203796,TB2S, 1, 9, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203800,TB2S, 1, 10, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203804,TB2S, 1, 11, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441203808,TB2S, 1, 12, 105.000000, 14140,221,2S,4,2_2S_1,2,2S,1,40.000000
441204788,TB2S, 1, 1, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204792,TB2S, 1, 2, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204796,TB2S, 1, 3, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204800,TB2S, 1, 4, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204804,TB2S, 1, 5, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204808,TB2S, 1, 6, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204812,TB2S, 1, 7, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204816,TB2S, 1, 8, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204820,TB2S, 1, 9, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204824,TB2S, 1, 10, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204828,TB2S, 1, 11, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441204832,TB2S, 1, 12, 112.500000, 14150,221,2S,4,2_2S_1,2,2S,1,40.000000
441205812,TB2S, 1, 1, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205816,TB2S, 1, 2, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205820,TB2S, 1, 3, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205824,TB2S, 1, 4, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205828,TB2S, 1, 5, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205832,TB2S, 1, 6, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205836,TB2S, 1, 7, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205840,TB2S, 1, 8, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205844,TB2S, 1, 9, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205848,TB2S, 1, 10, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205852,TB2S, 1, 11, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441205856,TB2S, 1, 12, 120.000000, 14160,221,2S,4,2_2S_1,2,2S,1,40.000000
441206836,TB2S, 1, 1, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206840,TB2S, 1, 2, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206844,TB2S, 1, 3, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206848,TB2S, 1, 4, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206852,TB2S, 1, 5, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206856,TB2S, 1, 6, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206860,TB2S, 1, 7, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206864,TB2S, 1, 8, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206868,TB2S, 1, 9, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206872,TB2S, 1, 10, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206876,TB2S, 1, 11, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441206880,TB2S, 1, 12, 127.500000, 14170,321,2S,6,3_2S_1,3,2S,1,40.000000
441207860,TB2S, 1, 1, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207864,TB2S, 1, 2, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207868,TB2S, 1, 3, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207872,TB2S, 1, 4, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207876,TB2S, 1, 5, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207880,TB2S, 1, 6, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207884,TB2S, 1, 7, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207888,TB2S, 1, 8, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207892,TB2S, 1, 9, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207896,TB2S, 1, 10, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207900,TB2S, 1, 11, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441207904,TB2S, 1, 12, 135.000000, 14180,321,2S,6,3_2S_1,3,2S,1,40.000000
441208884,TB2S, 1, 1, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208888,TB2S, 1, 2, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208892,TB2S, 1, 3, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208896,TB2S, 1, 4, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208900,TB2S, 1, 5, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208904,TB2S, 1, 6, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208908,TB2S, 1, 7, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208912,TB2S, 1, 8, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208916,TB2S, 1, 9, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208920,TB2S, 1, 10, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208924,TB2S, 1, 11, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441208928,TB2S, 1, 12, 142.500000, 14190,321,2S,6,3_2S_1,3,2S,1,40.000000
441209908,TB2S, 1, 1, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209912,TB2S, 1, 2, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209916,TB2S, 1, 3, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209920,TB2S, 1, 4, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209924,TB2S, 1, 5, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209928,TB2S, 1, 6, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209932,TB2S, 1, 7, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209936,TB2S, 1, 8, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209940,TB2S, 1, 9, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209944,TB2S, 1, 10, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209948,TB2S, 1, 11, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441209952,TB2S, 1, 12, 150.000000, 14200,321,2S,6,3_2S_1,3,2S,1,40.000000
441210932,TB2S, 1, 1, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210936,TB2S, 1, 2, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210940,TB2S, 1, 3, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210944,TB2S, 1, 4, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210948,TB2S, 1, 5, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210952,TB2S, 1, 6, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210956,TB2S, 1, 7, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210960,TB2S, 1, 8, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210964,TB2S, 1, 9, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210968,TB2S, 1, 10, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210972,TB2S, 1, 11, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441210976,TB2S, 1, 12, 157.500000, 14210,321,2S,6,3_2S_1,3,2S,1,40.000000
441211956,TB2S, 1, 1, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
441211960,TB2S, 1, 2, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
441211964,TB2S, 1, 3, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
441211968,TB2S, 1, 4, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
441211972,TB2S, 1, 5, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
441211976,TB2S, 1, 6, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
441211980,TB2S, 1, 7, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
441211984,TB2S, 1, 8, 165.000000, 14220,421,2S,7,4_2S_1,4,2S,1,40.000000
