Module DetId/U, DTC Id/U
441201716, 31
441201720, 31
441201724, 31
441201728, 31
441201732, 31
441201736, 31
441201740, 31
441201744, 31
441201748, 31
441201752, 31
441201756, 31
441201760, 31
441201712, 139
441201708, 139
441201704, 139
441201700, 139
441201696, 139
441201692, 139
441201688, 139
441201684, 139
441201680, 139
441201676, 139
441201672, 139
441201668, 139
441202740, 31
441202744, 31
441202748, 31
441202752, 31
441202756, 31
441202760, 31
441202764, 31
441202768, 31
441202772, 31
441202776, 31
441202780, 31
441202784, 31
441202736, 139
441202732, 139
441202728, 139
441202724, 139
441202720, 139
441202716, 139
441202712, 139
441202708, 139
441202704, 139
441202700, 139
441202696, 139
441202692, 139
441203764, 31
441203768, 31
441203772, 31
441203776, 31
441203780, 31
441203784, 31
441203788, 31
441203792, 31
441203796, 31
441203800, 31
441203804, 31
441203808, 31
441203760, 139
441203756, 139
441203752, 139
441203748, 139
441203744, 139
441203740, 139
441203736, 139
441203732, 139
441203728, 139
441203724, 139
441203720, 139
441203716, 139
441204788, 31
441204792, 31
441204796, 31
441204800, 31
441204804, 31
441204808, 31
441204812, 31
441204816, 31
441204820, 31
441204824, 31
441204828, 31
441204832, 31
441204784, 139
441204780, 139
441204776, 139
441204772, 139
441204768, 139
441204764, 139
441204760, 139
441204756, 139
441204752, 139
441204748, 139
441204744, 139
441204740, 139
441205812, 31
441205816, 31
441205820, 31
441205824, 31
441205828, 31
441205832, 31
441205836, 31
441205840, 31
441205844, 31
441205848, 31
441205852, 31
441205856, 31
441205808, 139
441205804, 139
441205800, 139
441205796, 139
441205792, 139
441205788, 139
441205784, 139
441205780, 139
441205776, 139
441205772, 139
441205768, 139
441205764, 139
441206836, 43
441206840, 43
441206844, 43
441206848, 43
441206852, 43
441206856, 43
441206860, 43
441206864, 43
441206868, 43
441206872, 43
441206876, 43
441206880, 43
441206832, 151
441206828, 151
441206824, 151
441206820, 151
441206816, 151
441206812, 151
441206808, 151
441206804, 151
441206800, 151
441206796, 151
441206792, 151
441206788, 151
441207860, 43
441207864, 43
441207868, 43
441207872, 43
441207876, 43
441207880, 43
441207884, 43
441207888, 43
441207892, 43
441207896, 43
441207900, 43
441207904, 43
441207856, 151
441207852, 151
441207848, 151
441207844, 151
441207840, 151
441207836, 151
441207832, 151
441207828, 151
441207824, 151
441207820, 151
441207816, 151
441207812, 151
441208884, 43
441208888, 43
441208892, 43
441208896, 43
441208900, 43
441208904, 43
441208908, 43
441208912, 43
441208916, 43
441208920, 43
441208924, 43
441208928, 43
441208880, 151
441208876, 151
441208872, 151
441208868, 151
441208864, 151
441208860, 151
441208856, 151
441208852, 151
441208848, 151
441208844, 151
441208840, 151
441208836, 151
441209908, 43
441209912, 43
441209916, 43
441209920, 43
441209924, 43
441209928, 43
441209932, 43
441209936, 43
441209940, 43
441209944, 43
441209948, 43
441209952, 43
441209904, 151
441209900, 151
441209896, 151
441209892, 151
441209888, 151
441209884, 151
441209880, 151
441209876, 151
441209872, 151
441209868, 151
441209864, 151
441209860, 151
441210932, 43
441210936, 43
441210940, 43
441210944, 43
441210948, 43
441210952, 43
441210956, 43
441210960, 43
441210964, 43
441210968, 43
441210972, 43
441210976, 43
441210928, 151
441210924, 151
441210920, 151
441210916, 151
441210912, 151
441210908, 151
441210904, 151
441210900, 151
441210896, 151
441210892, 151
441210888, 151
441210884, 151
441211956, 55
441211960, 55
441211964, 55
441211968, 55
441211972, 55
441211976, 55
441211980, 55
441211984, 55
441211988, 55
441211992, 55
441211996, 55
441212000, 55
441211952, 163
441211948, 163
441211944, 163
441211940, 163
441211936, 163
441211932, 163
441211928, 163
441211924, 163
441211920, 163
441211916, 163
441211912, 163
441211908, 163
441212980, 55
441212984, 55
441212988, 55
441212992, 55
441212996, 55
441213000, 55
441213004, 55
441213008, 55
441213012, 55
441213016, 55
441213020, 55
441213024, 55
441212976, 163
441212972, 163
441212968, 163
441212964, 163
441212960, 163
441212956, 163
441212952, 163
441212948, 163
441212944, 163
441212940, 163
441212936, 163
441212932, 163
441214004, 55
441214008, 55
441214012, 55
441214016, 55
441214020, 55
441214024, 55
441214028, 55
441214032, 55
441214036, 55
441214040, 55
441214044, 55
441214048, 55
441214000, 163
441213996, 163
441213992, 163
441213988, 163
441213984, 163
441213980, 163
441213976, 163
441213972, 163
441213968, 163
441213964, 163
441213960, 163
441213956, 163
441215028, 55
441215032, 55
441215036, 55
441215040, 55
441215044, 55
441215048, 55
441215052, 55
441215056, 55
441215060, 55
441215064, 55
441215068, 55
441215072, 55
441215024, 163
441215020, 163
441215016, 163
441215012, 163
441215008, 163
441215004, 163
441215000, 163
441214996, 163
441214992, 163
441214988, 163
441214984, 163
441214980, 163
441216052, 55
441216056, 55
441216060, 55
441216064, 55
441216068, 55
441216072, 55
441216076, 55
441216080, 55
441216084, 55
441216088, 55
441216092, 55
441216096, 55
441216048, 163
441216044, 163
441216040, 163
441216036, 163
441216032, 163
441216028, 163
441216024, 163
441216020, 163
441216016, 163
441216012, 163
441216008, 163
441216004, 163
441217076, 67
441217080, 67
441217084, 67
441217088, 67
441217092, 67
441217096, 67
441217100, 67
441217104, 67
441217108, 67
441217112, 67
441217116, 67
441217120, 67
441217072, 175
441217068, 175
441217064, 175
441217060, 175
441217056, 175
441217052, 175
441217048, 175
441217044, 175
441217040, 175
441217036, 175
441217032, 175
441217028, 175
441218100, 67
441218104, 67
441218108, 67
441218112, 67
441218116, 67
441218120, 67
441218124, 67
441218128, 67
441218132, 67
441218136, 67
441218140, 67
441218144, 67
441218096, 175
441218092, 175
441218088, 175
441218084, 175
441218080, 175
441218076, 175
441218072, 175
441218068, 175
441218064, 175
441218060, 175
441218056, 175
441218052, 175
441219124, 67
441219128, 67
441219132, 67
441219136, 67
441219140, 67
441219144, 67
441219148, 67
441219152, 67
441219156, 67
441219160, 67
441219164, 67
441219168, 67
441219120, 175
441219116, 175
441219112, 175
441219108, 175
441219104, 175
441219100, 175
441219096, 175
441219092, 175
441219088, 175
441219084, 175
441219080, 175
441219076, 175
441220148, 67
441220152, 67
441220156, 67
441220160, 67
441220164, 67
441220168, 67
441220172, 67
441220176, 67
441220180, 67
441220184, 67
441220188, 67
441220192, 67
441220144, 175
441220140, 175
441220136, 175
441220132, 175
441220128, 175
441220124, 175
441220120, 175
441220116, 175
441220112, 175
441220108, 175
441220104, 175
441220100, 175
441221172, 67
441221176, 67
441221180, 67
441221184, 67
441221188, 67
441221192, 67
441221196, 67
441221200, 67
441221204, 67
441221208, 67
441221212, 67
441221216, 67
441221168, 175
441221164, 175
441221160, 175
441221156, 175
441221152, 175
441221148, 175
441221144, 175
441221140, 175
441221136, 175
441221132, 175
441221128, 175
441221124, 175
441222196, 67
441222200, 67
441222204, 67
441222208, 67
441222212, 67
441222216, 67
441222220, 67
441222224, 67
441222228, 67
441222232, 67
441222236, 67
441222240, 67
441222192, 175
441222188, 175
441222184, 175
441222180, 175
441222176, 175
441222172, 175
441222168, 175
441222164, 175
441222160, 175
441222156, 175
441222152, 175
441222148, 175
441223220, 79
441223224, 79
441223228, 79
441223232, 79
441223236, 79
441223240, 79
441223244, 79
441223248, 79
441223252, 79
441223256, 79
441223260, 79
441223264, 79
441223216, 187
441223212, 187
441223208, 187
441223204, 187
441223200, 187
441223196, 187
441223192, 187
441223188, 187
441223184, 187
441223180, 187
441223176, 187
441223172, 187
441224244, 79
441224248, 79
441224252, 79
441224256, 79
441224260, 79
441224264, 79
441224268, 79
441224272, 79
441224276, 79
441224280, 79
441224284, 79
441224288, 79
441224240, 187
441224236, 187
441224232, 187
441224228, 187
441224224, 187
441224220, 187
441224216, 187
441224212, 187
441224208, 187
441224204, 187
441224200, 187
441224196, 187
441225268, 79
441225272, 79
441225276, 79
441225280, 79
441225284, 79
441225288, 79
441225292, 79
441225296, 79
441225300, 79
441225304, 79
441225308, 79
441225312, 79
441225264, 187
441225260, 187
441225256, 187
441225252, 187
441225248, 187
441225244, 187
441225240, 187
441225236, 187
441225232, 187
441225228, 187
441225224, 187
441225220, 187
441226292, 79
441226296, 79
441226300, 79
441226304, 79
441226308, 79
441226312, 79
441226316, 79
441226320, 79
441226324, 79
441226328, 79
441226332, 79
441226336, 79
441226288, 187
441226284, 187
441226280, 187
441226276, 187
441226272, 187
441226268, 187
441226264, 187
441226260, 187
441226256, 187
441226252, 187
441226248, 187
441226244, 187
441227316, 79
441227320, 79
441227324, 79
441227328, 79
441227332, 79
441227336, 79
441227340, 79
441227344, 79
441227348, 79
441227352, 79
441227356, 79
441227360, 79
441227312, 187
441227308, 187
441227304, 187
441227300, 187
441227296, 187
441227292, 187
441227288, 187
441227284, 187
441227280, 187
441227276, 187
441227272, 187
441227268, 187
441228340, 91
441228344, 91
441228348, 91
441228352, 91
441228356, 91
441228360, 91
441228364, 91
441228368, 91
441228372, 91
441228376, 91
441228380, 91
441228384, 91
441228336, 199
441228332, 199
441228328, 199
441228324, 199
441228320, 199
441228316, 199
441228312, 199
441228308, 199
441228304, 199
441228300, 199
441228296, 199
441228292, 199
441229364, 91
441229368, 91
441229372, 91
441229376, 91
441229380, 91
441229384, 91
441229388, 91
441229392, 91
441229396, 91
441229400, 91
441229404, 91
441229408, 91
441229360, 199
441229356, 199
441229352, 199
441229348, 199
441229344, 199
441229340, 199
441229336, 199
441229332, 199
441229328, 199
441229324, 199
441229320, 199
441229316, 199
441230388, 91
441230392, 91
441230396, 91
441230400, 91
441230404, 91
441230408, 91
441230412, 91
441230416, 91
441230420, 91
441230424, 91
441230428, 91
441230432, 91
441230384, 199
441230380, 199
441230376, 199
441230372, 199
441230368, 199
441230364, 199
441230360, 199
441230356, 199
441230352, 199
441230348, 199
441230344, 199
441230340, 199
441231412, 91
441231416, 91
441231420, 91
441231424, 91
441231428, 91
441231432, 91
441231436, 91
441231440, 91
441231444, 91
441231448, 91
441231452, 91
441231456, 91
441231408, 199
441231404, 199
441231400, 199
441231396, 199
441231392, 199
441231388, 199
441231384, 199
441231380, 199
441231376, 199
441231372, 199
441231368, 199
441231364, 199
441232436, 91
441232440, 91
441232444, 91
441232448, 91
441232452, 91
441232456, 91
441232460, 91
441232464, 91
441232468, 91
441232472, 91
441232476, 91
441232480, 91
441232432, 199
441232428, 199
441232424, 199
441232420, 199
441232416, 199
441232412, 199
441232408, 199
441232404, 199
441232400, 199
441232396, 199
441232392, 199
441232388, 199
441233460, 103
441233464, 103
441233468, 103
441233472, 103
441233476, 103
441233480, 103
441233484, 103
441233488, 103
441233492, 103
441233496, 103
441233500, 103
441233504, 103
441233456, 211
441233452, 211
441233448, 211
441233444, 211
441233440, 211
441233436, 211
441233432, 211
441233428, 211
441233424, 211
441233420, 211
441233416, 211
441233412, 211
441234484, 103
441234488, 103
441234492, 103
441234496, 103
441234500, 103
441234504, 103
441234508, 103
441234512, 103
441234516, 103
441234520, 103
441234524, 103
441234528, 103
441234480, 211
441234476, 211
441234472, 211
441234468, 211
441234464, 211
441234460, 211
441234456, 211
441234452, 211
441234448, 211
441234444, 211
441234440, 211
441234436, 211
441235508, 103
441235512, 103
441235516, 103
441235520, 103
441235524, 103
441235528, 103
441235532, 103
441235536, 103
441235540, 103
441235544, 103
441235548, 103
441235552, 103
441235504, 211
441235500, 211
441235496, 211
441235492, 211
441235488, 211
441235484, 211
441235480, 211
441235476, 211
441235472, 211
441235468, 211
441235464, 211
441235460, 211
441236532, 103
441236536, 103
441236540, 103
441236544, 103
441236548, 103
441236552, 103
441236556, 103
441236560, 103
441236564, 103
441236568, 103
441236572, 103
441236576, 103
441236528, 211
441236524, 211
441236520, 211
441236516, 211
441236512, 211
441236508, 211
441236504, 211
441236500, 211
441236496, 211
441236492, 211
441236488, 211
441236484, 211
441237556, 103
441237560, 103
441237564, 103
441237568, 103
441237572, 103
441237576, 103
441237580, 103
441237584, 103
441237588, 103
441237592, 103
441237596, 103
441237600, 103
441237552, 211
441237548, 211
441237544, 211
441237540, 211
441237536, 211
441237532, 211
441237528, 211
441237524, 211
441237520, 211
441237516, 211
441237512, 211
441237508, 211
441189428, 103
441189432, 103
441189436, 103
441189440, 103
441189444, 103
441189448, 103
441189452, 103
441189456, 103
441189460, 103
441189464, 103
441189468, 103
441189472, 103
441189424, 211
441189420, 211
441189416, 211
441189412, 211
441189408, 211
441189404, 211
441189400, 211
441189396, 211
441189392, 211
441189388, 211
441189384, 211
441189380, 211
441190452, 7
441190456, 7
441190460, 7
441190464, 7
441190468, 7
441190472, 7
441190476, 7
441190480, 7
441190484, 7
441190488, 7
441190492, 7
441190496, 7
441190448, 115
441190444, 115
441190440, 115
441190436, 115
441190432, 115
441190428, 115
441190424, 115
441190420, 115
441190416, 115
441190412, 115
441190408, 115
441190404, 115
441191476, 7
441191480, 7
441191484, 7
441191488, 7
441191492, 7
441191496, 7
441191500, 7
441191504, 7
441191508, 7
441191512, 7
441191516, 7
441191520, 7
441191472, 115
441191468, 115
441191464, 115
441191460, 115
441191456, 115
441191452, 115
441191448, 115
441191444, 115
441191440, 115
441191436, 115
441191432, 115
441191428, 115
441192500, 7
441192504, 7
441192508, 7
441192512, 7
441192516, 7
441192520, 7
441192524, 7
441192528, 7
441192532, 7
441192536, 7
441192540, 7
441192544, 7
441192496, 115
441192492, 115
441192488, 115
441192484, 115
441192480, 115
441192476, 115
441192472, 115
441192468, 115
441192464, 115
441192460, 115
441192456, 115
441192452, 115
441193524, 7
441193528, 7
441193532, 7
441193536, 7
441193540, 7
441193544, 7
441193548, 7
441193552, 7
441193556, 7
441193560, 7
441193564, 7
441193568, 7
441193520, 115
441193516, 115
441193512, 115
441193508, 115
441193504, 115
441193500, 115
441193496, 115
441193492, 115
441193488, 115
441193484, 115
441193480, 115
441193476, 115
441194548, 7
441194552, 7
441194556, 7
441194560, 7
441194564, 7
441194568, 7
441194572, 7
441194576, 7
441194580, 7
441194584, 7
441194588, 7
441194592, 7
441194544, 115
441194540, 115
441194536, 115
441194532, 115
441194528, 115
441194524, 115
441194520, 115
441194516, 115
441194512, 115
441194508, 115
441194504, 115
441194500, 115
441195572, 19
441195576, 19
441195580, 19
441195584, 19
441195588, 19
441195592, 19
441195596, 19
441195600, 19
441195604, 19
441195608, 19
441195612, 19
441195616, 19
441195568, 127
441195564, 127
441195560, 127
441195556, 127
